Reference, Value, Footprint, Datasheet, Manu_Number, Manu_Name, Digikey_Number, Digikey_Num
"P1","CONN_01X01","manuvr_logo:ManuvrLogo",""
"P2","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"CON1","USB-MICRO-B","iansModules:USB_ZX62WRD-B-5PC","","ZX62WRD-B-5PC","Hirose Electric Co Ltd","H12192CT-ND",""
"C4","22uF","Capacitors_SMD:C_0805","","GRM21BR60J226ME39L","Murata Electronics North America","490-1719-1-ND",""
"C5","10uF","Capacitors_SMD:C_0805","","GRM219R60J106KE19D","Murata Electronics North America","490-3340-1-ND",""
"C2","4.7uF","Capacitors_SMD:C_0805","","GRM21BR61E475KA12L","Murata Electronics North America","490-3335-1-ND",""
"C9","10uF","Capacitors_SMD:C_0402_NoSilk","","490-3340-1-ND","Murata Electronics North America","490-3340-1-ND",""
"C7","1uF","Capacitors_SMD:C_0402_NoSilk","","GRM155R60J105KE19D","Murata Electronics North America","490-1320-1-ND",""
"R4","68mOhm","Resistors_SMD:R_2512","","CSRN2512FK68L0","Stackpole Electronics Inc.","CSRN2512FK68L0CT-ND",""
"C8","10nF","Capacitors_SMD:C_0402_NoSilk","","C0402C103J3RACTU","Kemet","399-1279-1-ND",""
"C12","0.1uF","Capacitors_SMD:C_0402_NoSilk","","CL05B104JP5NNNC","Samsung Electro-Mechanics America, Inc","1276-1506-1-ND",""
"U6","BQ24155","r2Parts:BQ24155","","BQ24155RGYR","Texas Instruments","296-27187-1-ND",""
"D1","Charge","Resistors_SMD:R_0402_NoSilk","","LNJ347W83RA","Panasonic Electronic Components","LNJ347W83RACT-ND",""
"P3","CONN_02X16","r2Parts:DF12(3.0)-32DS-0.5V(86)","","DF12-32DS-0.5V(86)","Hirose Electric Co Ltd","H5205CT-ND",""
"U2","LSF0204x","r2Parts:R-PUQFN-N12","","LSF0204RUTR","Texas Instruments","296-40404-1-ND",""
"U8","EMIF02-USB03F2","r2Parts:FCBGA12","","EMIF02-USB03F2","STMicroelectronics","497-13521-1-ND",""
"CARY2","100nF","r2Parts:CapArray_CKCL44","","CKCL44X5R0J104M085AA","TDK Corporation","445-1838-1-ND",""
"QA_NPN1","QA_NPN","TO_SOT_Packages_SMD:SOT-363_SC-70-6_Handsoldering","","NC7SV57P6X","Fairchild Semiconductor","NC7SV57P6XCT-ND",""
"U7","SC283","r2Parts:MLPQ-W18 (2mmx3mm)","","SC283WLTRT","Semtech Corporation","SC283WLCT-ND",""
"P6","DEBUG","Pin_Headers:Pin_Header_Straight_1x08_Pitch1.27mm",""
"CARY3","100nF","r2Parts:CapArray_CKCL44","","CKCL44X5R0J104M085AA","TDK Corporation","445-1838-1-ND",""
"CARY4","100nF","r2Parts:CapArray_CKCL44","","CKCL44X5R0J104M085AA","TDK Corporation","445-1838-1-ND",""
"CARY1","100nF","r2Parts:CapArray_CKCL44","","CKCL44X5R0J104M085AA","TDK Corporation","445-1838-1-ND",""
"CARY5","100nF","r2Parts:CapArray_CKCL44","","CKCL44X5R0J104M085AA","TDK Corporation","445-1838-1-ND",""
"P4","HiRose-02X15","r2Parts:DF12(4.0)-30DS-0.5V(86)","","DF12(4.0)-30DP-0.5V(86)","Hirose Electric Co Ltd","","H5238CT-ND"
"R1","1k","Resistors_SMD:R_0402_NoSilk","","ERJ-2RKF1001X","Panasonic Electronic Components","P1.00KLCT-ND",""
"U5","LTC2942-1","r2Parts:DFN-6-1EP_2x3mm_Pitch0.5mm","","LTC2942CDCB-1#TRMPBF","Linear Technology","LTC2942CDCB-1#TRMPBFCT-ND",""
"L1","2.2uH","r2Parts:L-SMD","","CDRH2D14NP-2R2NC","Sumida America Components Inc.","308-2294-1-ND",""
"L3","1uH","Inductors_NEOSID:Neosid_Inductor_SM-NE29_SMD1008","","LQM2HPN1R0MJ0L","Murata Electronics North America","490-6699-1-ND",""
"F1","1A","Resistors_SMD:R_0805_HandSoldering","","NANOSMDC075F-2","Littelfuse Inc.","NANOSMDC075F-2CT-ND",""
"RP1","22","r2Parts:RES_4_EXBN8V","","EXB-N8V220JX","Panasonic Electronic Components","Y10220CT-ND",""
"L2","2.2uH","r2Parts:L-SMD","","CDRH2D14NP-2R2NC","Sumida America Components Inc.","308-2294-1-ND",""
"U1","LSF0204x","r2Parts:R-PUQFN-N12","","LSF0204RUTR","Texas Instruments","296-40404-1-ND",""
"U3","LSF0204x","r2Parts:R-PUQFN-N12","","LSF0204RUTR","Texas Instruments","296-40404-1-ND",""
"U4","LSF0204x","r2Parts:R-PUQFN-N12","","LSF0204RUTR","Texas Instruments","296-40404-1-ND",""
"C11","22uF","Capacitors_SMD:C_0805","","GRM21BR60J226ME39L","Murata Electronics North America","490-1719-1-ND",""
"C10","10uF","Capacitors_SMD:C_0805","","GRM219R60J106KE19D","Murata Electronics North America","490-3340-1-ND",""
"C3","1uF","Capacitors_SMD:C_0402_NoSilk","","GRM155R60J105KE19D","Murata Electronics North America","490-1320-1-ND",""
"C1","1uF","Capacitors_SMD:C_0402_NoSilk","","GRM155R60J105KE19D","Murata Electronics North America","490-1320-1-ND",""
"C6","10uF","Capacitors_SMD:C_0402_NoSilk","","490-3340-1-ND","Murata Electronics North America","490-3340-1-ND",""
"RP2","10k","r2Parts:RES_4_EXBN8V","","EXB-N8V103JX","Panasonic Electronic Components","Y10103CT-ND",""
"R3","1k","Resistors_SMD:R_0402_NoSilk","","ERJ-2RKF1001X","Panasonic Electronic Components","P1.00KLCT-ND",""
